date,Goldman Sachs Patrimonial Balanced Fund,Baillie Gifford European Growth Fund,Impax Environmental Markets Fund,DWS ESG Euro Market Fund
2016-04-01,582.14,65.5,170.5,102.54
2016-04-04,581.44,65.75,170.0,102.54
2016-04-05,577.03,63.75,169.5,102.54
2016-04-06,576.79,64.5,172.75,102.54
2016-04-07,574.42,64.4,169.0,102.54
2016-04-08,577.13,64.8,171.5,102.54
2016-04-11,578.81,64.8,170.0,102.54
2016-04-12,579.7,65.275,170.0,102.54
2016-04-13,586.91,66.7,172.0,102.54
2016-04-14,589.54,67.5,173.5,102.53
2016-04-15,589.56,67.8,175.5,102.54
2016-04-18,589.73,67.8,174.25,102.54
2016-04-19,592.44,67.75,174.25,102.54
2016-04-20,595.2,68.1,170.5,102.54
2016-04-21,594.65,68.3,173.0,102.53
2016-04-22,594.15,68.15,172.0,102.53
2016-04-25,591.51,67.2,174.0,102.53
2016-04-26,591.99,68.35,173.5,102.53
2016-04-27,593.15,69.0,174.0,102.53
2016-04-28,594.01,67.55,172.0,102.53
2016-04-29,588.25,67.9,170.0,102.53
2016-05-03,584.7,67.75,170.0,102.53
2016-05-04,581.51,67.5,170.0,102.53
2016-05-06,581.84,66.5,167.0,102.53
2016-05-09,582.25,67.475,166.5,102.53
2016-05-10,584.43,66.85,170.0,102.52
2016-05-11,583.68,67.0,169.0,102.52
2016-05-12,581.99,67.5,167.25,102.52
2016-05-13,582.98,66.9,170.0,102.52
2016-05-17,582.06,66.0,167.5,102.52
2016-05-18,583.18,65.2,167.5,102.52
2016-05-19,581.45,64.2,164.0,102.52
2016-05-20,583.59,65.4,166.75,102.52
2016-05-23,583.51,65.1,167.0,102.52
2016-05-24,588.1,64.825,166.5,102.52
2016-05-25,593.16,65.2,167.0,102.52
2016-05-27,596.16,65.6,169.0,102.52
2016-05-31,595.77,66.4,169.0,102.52
2016-06-01,593.42,65.1,167.25,102.52
2016-06-02,593.44,66.5,168.5,102.52
2016-06-03,591.48,66.5,171.0,102.52
2016-06-06,591.29,67.5,174.75,102.52
2016-06-07,594.43,67.1,173.5,102.52
2016-06-08,594.13,67.2,174.75,102.52
2016-06-09,591.88,66.5,176.5,102.52
2016-06-10,585.37,66.25,176.75,102.52
2016-06-13,578.49,64.6,173.75,102.52
2016-06-14,573.16,63.2,175.0,102.52
2016-06-15,573.71,64.35,175.0,102.52
2016-06-16,572.92,63.0,173.5,102.52
2016-06-17,575.35,64.95,173.0,102.52
2016-06-20,583.95,64.5,172.25,102.52
2016-06-21,586.76,64.85,171.75,102.52
2016-06-22,587.37,64.45,176.0,102.52
2016-06-24,572.53,65.0,173.0,102.5
2016-06-27,561.03,61.85,173.5,102.5
2016-06-28,565.38,63.0,176.0,102.5
2016-06-29,572.47,63.5,176.5,102.5
2016-06-30,576.9,62.95,184.0,102.5
2016-07-01,579.8,64.2,187.0,102.51
2016-07-04,578.73,63.175,185.75,102.51
2016-07-05,573.85,62.65,186.5,102.51
2016-07-06,568.88,62.1,185.75,102.51
2016-07-07,569.47,63.0,185.75,102.51
2016-07-08,575.29,64.05,189.5,102.51
2016-07-11,579.97,65.5,187.5,102.51
2016-07-12,584.44,64.6,188.5,102.51
2016-07-13,585.05,66.0,188.0,102.51
2016-07-14,588.0,66.5,188.25,102.51
2016-07-15,587.47,66.5,192.5,102.51
2016-07-18,587.04,67.5,190.0,102.51
2016-07-19,586.12,67.5,193.5,102.51
2016-07-20,588.73,67.3,193.0,102.51
2016-07-21,589.26,67.0,194.5,102.51
2016-07-22,590.02,68.4,195.5,102.51
2016-07-25,590.54,68.4,192.5,102.51
2016-07-26,590.9,68.0,193.5,102.51
2016-07-27,593.74,69.4,194.25,102.51
2016-07-28,592.1,68.45,196.0,102.51
