date,index_fund_name
01-04-2016,1448.14
04-04-2016,1458.77
05-04-2016,1430.2
06-04-2016,1441.04
07-04-2016,1431.27
08-04-2016,1451.34
11-04-2016,1460.49
12-04-2016,1460.17
13-04-2016,1485.57
14-04-2016,1487.73
15-04-2016,1487.21
18-04-2016,1497.38
19-04-2016,1526.19
20-04-2016,1528.01
21-04-2016,1517.45
22-04-2016,1505.75
25-04-2016,1500.47
26-04-2016,1508.39
27-04-2016,1513.28
28-04-2016,1516.38
29-04-2016,1501.57
02-05-2016,1508.39
03-05-2016,1483.14
04-05-2016,1462.45
05-05-2016,1455.49
06-05-2016,1453.53
09-05-2016,1456.63
10-05-2016,1469.61
11-05-2016,1467.93
12-05-2016,1456.5
13-05-2016,1449.96
16-05-2016,1454.47
17-05-2016,1454.85
18-05-2016,1459.64
19-05-2016,1433.21
20-05-2016,1451.73
23-05-2016,1443.14
24-05-2016,1470.08
25-05-2016,1487.65
26-05-2016,1494.79
27-05-2016,1490.71
30-05-2016,1493.73
31-05-2016,1481.2
01-06-2016,1472.47
02-06-2016,1471.73
03-06-2016,1481.23
06-06-2016,1490.82
07-06-2016,1506.42
08-06-2016,1504.9
09-06-2016,1481.23
10-06-2016,1442.02
13-06-2016,1416.63
14-06-2016,1378.21
15-06-2016,1394.83
16-06-2016,1374.98
17-06-2016,1406.04
20-06-2016,1468.13
21-06-2016,1470.12
22-06-2016,1477.09
23-06-2016,1508.1
24-06-2016,1375.84
27-06-2016,1305.76
28-06-2016,1347.51
29-06-2016,1396.35
30-06-2016,1411.93
01-07-2016,1424.63
04-07-2016,1415.55
05-07-2016,1389.55
06-07-2016,1361.48
07-07-2016,1375.84
08-07-2016,1392.65
11-07-2016,1415.79
12-07-2016,1433.77
13-07-2016,1436.3
14-07-2016,1447.57
15-07-2016,1440.95
18-07-2016,1443.18
19-07-2016,1430.11
20-07-2016,1444.37
21-07-2016,1441.91
22-07-2016,1438.64
25-07-2016,1439.69
26-07-2016,1442.88
27-07-2016,1449.28
28-07-2016,1446.83
29-07-2016,1469.94
01-08-2016,1459.65
02-08-2016,1446.76
03-08-2016,1441.01
04-08-2016,1446.47
05-08-2016,1452.52
08-08-2016,1453.75
09-08-2016,1472.02
10-08-2016,1475.8
11-08-2016,1489.42
12-08-2016,1486.63
15-08-2016,1489.37
16-08-2016,1485.88
17-08-2016,1475.84
18-08-2016,1492.83
19-08-2016,1480.45
22-08-2016,1481.62
23-08-2016,1494.15
24-08-2016,1490.05
25-08-2016,1482.01
26-08-2016,1489.48
29-08-2016,1472.34
30-08-2016,1477.11
31-08-2016,1470.06
01-09-2016,1477
02-09-2016,1502.61
05-09-2016,1501.04
06-09-2016,1507.84
07-09-2016,1513.23
08-09-2016,1512.37
09-09-2016,1487.55
12-09-2016,1474.68
13-09-2016,1462.36
14-09-2016,1461.53
15-09-2016,1469.14
16-09-2016,1447.4
19-09-2016,1465.1
20-09-2016,1462.33
21-09-2016,1464.75
22-09-2016,1501.77
23-09-2016,1488.39
26-09-2016,1471.35
27-09-2016,1462.85
28-09-2016,1475.28
29-09-2016,1479.88
30-09-2016,1481.94
03-10-2016,1480.49
04-10-2016,1485.69
05-10-2016,1483.59
06-10-2016,1473.61
07-10-2016,1461.76
10-10-2016,1469.81
11-10-2016,1449.21
12-10-2016,1436.27
13-10-2016,1425.71
14-10-2016,1440.61
17-10-2016,1428.19
18-10-2016,1447.05
19-10-2016,1451.15
20-10-2016,1449.18
21-10-2016,1441.72
24-10-2016,1443.41
25-10-2016,1435.88
26-10-2016,1437.76
27-10-2016,1438.71
28-10-2016,1435.84
31-10-2016,1432.15
01-11-2016,1427.87
02-11-2016,1420.64
03-11-2016,1416.93
04-11-2016,1409.36
07-11-2016,1419.78
08-11-2016,1426.45
09-11-2016,1433.94
10-11-2016,1420.69
11-11-2016,1412.03
14-11-2016,1397.39
15-11-2016,1402.29
16-11-2016,1392.25
17-11-2016,1400.85
18-11-2016,1382.41
21-11-2016,1392.89
22-11-2016,1391.88
23-11-2016,1383.46
24-11-2016,1392.03
25-11-2016,1400.05
28-11-2016,1386.31
29-11-2016,1394.8
30-11-2016,1398.61
01-12-2016,1395.19
02-12-2016,1395.45
05-12-2016,1411.92
06-12-2016,1424.7
07-12-2016,1444.57
08-12-2016,1441.49
09-12-2016,1444.72
12-12-2016,1448.41
13-12-2016,1468.32
14-12-2016,1462.8
15-12-2016,1442.51
16-12-2016,1451.52
19-12-2016,1448.86
20-12-2016,1447.83
21-12-2016,1452.18
22-12-2016,1452.21
23-12-2016,1453.34
26-12-2016,1453.34
27-12-2016,1454.68
28-12-2016,1450.15
29-12-2016,1458.15
30-12-2016,1471.08
02-01-2017,1477.92
03-01-2017,1465.15
04-01-2017,1476.38
05-01-2017,1495.1
06-01-2017,1491.18
09-01-2017,1480.84
10-01-2017,1487.65
11-01-2017,1473.99
12-01-2017,1490.3
13-01-2017,1500.41
16-01-2017,1485.56
17-01-2017,1495.32
18-01-2017,1497.94
19-01-2017,1485.37
20-01-2017,1497.49
23-01-2017,1496.7
24-01-2017,1502.12
25-01-2017,1519.8
26-01-2017,1512.89
27-01-2017,1513.06
30-01-2017,1495.17
31-01-2017,1501.03
01-02-2017,1506.45
02-02-2017,1508.11
03-02-2017,1514.33
06-02-2017,1497.39
07-02-2017,1494.1
08-02-2017,1501.23
09-02-2017,1507.57
10-02-2017,1504.46
13-02-2017,1513.14
14-02-2017,1507.33
15-02-2017,1513.93
16-02-2017,1521.89
17-02-2017,1516.42
20-02-2017,1517.96
21-02-2017,1515.43
22-02-2017,1516.42
23-02-2017,1521.23
24-02-2017,1506.42
27-02-2017,1510.34
28-02-2017,1514.95
01-03-2017,1527.72
02-03-2017,1523.41
03-03-2017,1527.4
06-03-2017,1524.46
07-03-2017,1518.14
08-03-2017,1515.55
09-03-2017,1519.97
10-03-2017,1532.2
13-03-2017,1539.75
14-03-2017,1531.24
15-03-2017,1535.9
16-03-2017,1562.29
17-03-2017,1565.51
20-03-2017,1564.31
21-03-2017,1564.52
22-03-2017,1556.85
23-03-2017,1567.32
24-03-2017,1567
27-03-2017,1572.26
28-03-2017,1579.7
29-03-2017,1568.05
30-03-2017,1573.66
31-03-2017,1570.11
03-04-2017,1556.22
04-04-2017,1560.92
05-04-2017,1560.74
06-04-2017,1562.34
07-04-2017,1558.65
10-04-2017,1555.63
11-04-2017,1559.64
12-04-2017,1560.77
13-04-2017,1555.73
14-04-2017,1555.73
17-04-2017,1562.42
18-04-2017,1548.39
19-04-2017,1553.69
20-04-2017,1564.47
21-04-2017,1553.43
24-04-2017,1612.08
25-04-2017,1624.95
26-04-2017,1624.92
27-04-2017,1618.84
28-04-2017,1619.06
01-05-2017,1621.24
02-05-2017,1630.41
03-05-2017,1631.4
04-05-2017,1648.21
05-05-2017,1665.72
08-05-2017,1655.36
09-05-2017,1656.6
10-05-2017,1656.11
11-05-2017,1647.69
12-05-2017,1661.29
15-05-2017,1671.17
16-05-2017,1687.37
17-05-2017,1677.27
18-05-2017,1664.88
19-05-2017,1684.6
22-05-2017,1690.95
23-05-2017,1691.76
24-05-2017,1686.28
25-05-2017,1689.49
26-05-2017,1681.4
29-05-2017,1680.26
30-05-2017,1676.82
31-05-2017,1685.15
01-06-2017,1689.06
02-06-2017,1700.41
05-06-2017,1695.24
06-06-2017,1686.14
07-06-2017,1684.47
08-06-2017,1678.19
09-06-2017,1678.61
12-06-2017,1665.65
13-06-2017,1674.77
14-06-2017,1679.87
15-06-2017,1655.4
16-06-2017,1673.42
19-06-2017,1683.41
20-06-2017,1665.07
21-06-2017,1664.1
22-06-2017,1666.28
23-06-2017,1668.6
26-06-2017,1675.53
27-06-2017,1675.46
28-06-2017,1686.07
29-06-2017,1672.85
30-06-2017,1663.22
03-07-2017,1676.06
04-07-2017,1668.49
05-07-2017,1667.85
06-07-2017,1667.91
07-07-2017,1664.56
10-07-2017,1670.29
11-07-2017,1664.03
12-07-2017,1690.09
13-07-2017,1692.89
14-07-2017,1702.14
17-07-2017,1705.18
18-07-2017,1701.99
19-07-2017,1705.82
20-07-2017,1716.7
21-07-2017,1702.34
24-07-2017,1696.08
25-07-2017,1706.43
26-07-2017,1710.3
27-07-2017,1713.15
28-07-2017,1707.81
31-07-2017,1712.13
01-08-2017,1725.84
02-08-2017,1725.34
03-08-2017,1730.32
04-08-2017,1728.34
07-08-2017,1732.49
08-08-2017,1727.28
09-08-2017,1715.22
10-08-2017,1698.54
11-08-2017,1687.02
14-08-2017,1703.69
15-08-2017,1695.87
16-08-2017,1704.97
17-08-2017,1700.46
18-08-2017,1689.47
21-08-2017,1692.17
22-08-2017,1698.46
23-08-2017,1697.62
24-08-2017,1699.19
25-08-2017,1706.91
28-08-2017,1712.81
29-08-2017,1703.35
30-08-2017,1699.31
31-08-2017,1708.24
01-09-2017,1717.12
04-09-2017,1712.95
05-09-2017,1712.07
06-09-2017,1715.59
07-09-2017,1730.12
08-09-2017,1734.35
11-09-2017,1747.11
12-09-2017,1751.94
13-09-2017,1746.35
14-09-2017,1741.61
15-09-2017,1749.59
18-09-2017,1754.06
19-09-2017,1758.27
20-09-2017,1760.16
21-09-2017,1754.07
22-09-2017,1762.4
25-09-2017,1751.04
26-09-2017,1740.78
27-09-2017,1738.93
28-09-2017,1749.91
29-09-2017,1763.38
02-10-2017,1759.61
03-10-2017,1764.94
04-10-2017,1764.52
05-10-2017,1760.89
06-10-2017,1756.39
09-10-2017,1760.51
10-10-2017,1772.04
11-10-2017,1776.08
12-10-2017,1776.9
13-10-2017,1780.36
16-10-2017,1774.71
17-10-2017,1763.92
18-10-2017,1772.7
19-10-2017,1773.98
20-10-2017,1768.65
23-10-2017,1764.98
24-10-2017,1761.37
25-10-2017,1758.26
26-10-2017,1760.6
27-10-2017,1752.31
30-10-2017,1763.82
31-10-2017,1770.87
01-11-2017,1771.71
02-11-2017,1773.01
03-11-2017,1768.79
06-11-2017,1766.89
07-11-2017,1756.65
08-11-2017,1757.87
09-11-2017,1748.04
10-11-2017,1743.85
13-11-2017,1733.34
14-11-2017,1735.5
15-11-2017,1733.77
16-11-2017,1741.62
17-11-2017,1737.91
20-11-2017,1744.61
21-11-2017,1748.62
22-11-2017,1752.94
23-11-2017,1761.28
24-11-2017,1773.07
27-11-2017,1762.1
28-11-2017,1765.2
29-11-2017,1766.53
30-11-2017,1771.14
01-12-2017,1750.33
04-12-2017,1763.88
05-12-2017,1758.08
06-12-2017,1751.4
07-12-2017,1751.88
08-12-2017,1758.67
11-12-2017,1764.78
12-12-2017,1766.99
13-12-2017,1766.85
14-12-2017,1761.17
15-12-2017,1756.8
18-12-2017,1784.03
19-12-2017,1775.89
20-12-2017,1774.3
21-12-2017,1781.9
22-12-2017,1776.01
25-12-2017,1776.01
26-12-2017,1778.57
27-12-2017,1785.66
28-12-2017,1787.59
29-12-2017,1796.64
01-01-2018,1796.64
02-01-2018,1797.97
03-01-2018,1803.22
04-01-2018,1827.31
05-01-2018,1838.21
08-01-2018,1834.13
09-01-2018,1834.99
10-01-2018,1836.76
11-01-2018,1840.58
12-01-2018,1861.26
15-01-2018,1877.76
16-01-2018,1873.24
17-01-2018,1873.11
18-01-2018,1876.22
19-01-2018,1883.86
22-01-2018,1894.07
23-01-2018,1903.36
24-01-2018,1907.26
25-01-2018,1915.23
26-01-2018,1913.88
29-01-2018,1898.71
30-01-2018,1889.78
31-01-2018,1892.98
01-02-2018,1884.41
02-02-2018,1853.73
05-02-2018,1822.53
06-02-2018,1767.17
07-02-2018,1794.12
08-02-2018,1760.52
