date,Carmignac Patrimoine Fund,Lazard Global Active Equity Fund,Fidelity Euro Stoxx 50 Index Fund,Robeco Global Stars Equity Fund,Invesco Pan-European Equity Fund
2016-04-01,614.13,2.5316,11.78,31.56,16.76
2016-04-04,612.21,2.5727,11.81,31.65,16.91
2016-04-05,614.12,2.5145,11.53,31.5,16.46
2016-04-06,616.04,2.5198,11.61,31.15,16.4
2016-04-07,618.56,2.5226,11.47,31.47,16.37
2016-04-08,617.09,2.5271,11.63,31.21,16.53
2016-04-11,615.68,2.5568,11.68,31.32,16.79
2016-04-12,615.73,2.5479,11.75,31.31,16.82
2016-04-13,615.67,2.5931,12.14,31.8,17.33
2016-04-14,616.04,2.61,12.23,32.58,17.4
2016-04-15,616.48,2.6002,12.2,32.71,17.37
2016-04-18,617.15,2.6034,12.25,32.53,17.34
2016-04-19,616.8,2.642,12.44,32.73,17.62
2016-04-20,617.24,2.6426,12.56,31.6,17.69
2016-04-21,620.1,2.6425,12.6,31.81,17.79
2016-04-22,619.02,2.6475,12.56,31.82,17.68
2016-04-25,616.71,2.6417,12.46,31.84,17.68
2016-04-26,615.77,2.6392,12.49,31.66,17.77
2016-04-27,616.37,2.6423,12.53,31.66,17.83
2016-04-28,617.38,2.616,12.53,31.54,17.66
2016-04-29,617.41,2.6132,12.15,31.45,17.64
2016-05-02,616.34,2.5944,12.2,30.81,17.43
2016-05-03,614.28,2.5512,11.96,30.81,17.02
2016-05-04,613.01,2.5365,11.82,30.4,16.85
2016-05-06,614.85,2.5148,11.86,30.3,16.7
2016-05-09,614.14,2.5568,11.94,30.3,16.93
2016-05-10,616.57,2.5717,12.05,30.54,16.95
2016-05-11,617.8,2.5373,11.96,30.79,16.79
2016-05-12,618.51,2.5703,11.88,30.52,17.04
2016-05-13,619.51,2.5276,11.97,30.61,16.73
2016-05-17,621.21,2.5492,11.91,30.69,16.95
2016-05-18,619.45,2.5327,11.99,30.48,16.89
2016-05-19,619.74,2.5365,11.84,30.76,17.04
2016-05-20,620.16,2.5596,12.02,30.66,17.09
2016-05-23,620.4,2.5627,11.93,30.89,17.03
2016-05-24,619.32,2.5964,12.24,30.81,17.33
2016-05-25,620.07,2.6453,12.46,31.41,17.74
2016-05-26,620.72,2.654,12.5,31.7,17.88
2016-05-27,621.7,2.6593,12.54,31.62,17.84
2016-05-30,621.32,2.6675,12.58,31.88,17.92
2016-06-01,622.8,2.6416,12.38,31.84,17.55
2016-06-02,624.75,2.6536,12.37,31.71,17.63
2016-06-03,624.0,2.6608,12.23,31.85,17.62
2016-06-06,623.37,2.6225,12.26,31.38,17.3
2016-06-07,623.72,2.6572,12.41,31.42,17.59
2016-06-08,625.06,2.646,12.33,31.54,17.52
2016-06-09,626.91,2.623,12.21,31.48,17.42
2016-06-10,624.13,2.5726,11.89,31.42,17.0
2016-06-13,624.0,2.5104,11.66,30.94,16.55
2016-06-14,623.23,2.4726,11.42,30.54,16.27
2016-06-15,623.14,2.4787,11.56,30.48,16.32
2016-06-16,625.22,2.4559,11.52,30.4,16.13
2016-06-17,622.7,2.4846,11.64,30.66,16.47
2016-06-20,622.77,2.5606,12.03,30.52,17.19
2016-06-21,623.55,2.5706,12.14,30.76,17.34
2016-06-22,624.05,2.5831,12.19,30.99,17.44
2016-06-23,626.79,2.6185,12.42,31.01,17.44
2016-06-24,624.85,2.4492,11.35,31.02,15.95
2016-06-27,622.57,2.374,11.03,30.26,15.19
2016-06-28,624.24,2.3962,11.28,29.84,15.37
2016-06-29,627.51,2.4435,11.58,30.38,15.82
2016-06-30,630.23,2.4748,11.72,30.93,15.95
2016-07-01,633.29,2.4996,11.79,31.12,16.02
2016-07-04,633.95,2.4972,11.71,31.23,16.09
2016-07-05,632.5,2.4672,11.51,31.2,15.79
2016-07-06,633.47,2.4146,11.3,30.84,15.25
2016-07-07,633.78,2.4454,11.38,30.95,15.56
2016-07-08,639.48,2.4486,11.62,31.02,15.7
2016-07-11,640.68,2.4966,11.81,31.63,16.01
2016-07-12,641.76,2.5302,12.01,31.82,16.51
2016-07-13,640.0,2.5352,11.98,32.0,16.7
2016-07-15,641.53,2.5235,12.11,32.06,16.59
2016-07-18,642.65,2.5328,12.07,32.1,16.68
2016-07-19,642.99,2.5211,12.0,32.16,16.5
2016-07-20,644.33,2.5509,12.14,32.16,16.75
2016-07-21,645.05,2.5521,12.15,32.39,16.74
2016-07-22,647.36,2.5551,12.16,32.36,16.72
2016-07-25,646.28,2.5707,12.17,32.56,16.79
2016-07-26,647.41,2.5551,12.19,32.45,16.67
2016-07-27,647.57,2.5729,12.28,32.53,16.9
2016-07-28,644.29,2.5618,12.15,32.4,16.72
2016-07-29,643.55,2.5531,12.24,32.1,16.71
2016-08-01,643.96,2.5557,12.15,32.04,16.51
2016-08-02,640.61,2.5252,11.9,32.01,16.29
2016-08-03,641.72,2.5058,11.92,31.68,16.25
2016-08-04,643.76,2.5196,12.01,31.93,16.39
