date,UTI – Gold Fund,SBI – Gold Fund
2016-04-01,25.63,9.4092
2016-04-02,25.63,9.4092
2016-04-03,25.63,9.4092
2016-04-04,25.63,9.4092
2016-04-05,25.94,9.4824
2016-04-06,25.95,9.5164
2016-04-07,26.09,9.5673
2016-04-08,26.1225,9.5944
2016-04-09,26.155,9.6215
2016-04-10,26.1875,9.6486
2016-04-11,26.22,9.6757
2016-04-12,26.5,9.7423
2016-04-13,26.32,9.727
2016-04-14,26.308,9.72804
2016-04-15,26.296,9.72908
2016-04-16,26.284,9.73012
2016-04-17,26.272,9.73116
2016-04-18,26.26,9.7322
2016-04-19,26.37,9.7367
2016-04-20,26.48,9.7412
2016-04-21,26.71,9.8452
2016-04-22,26.63,9.803
2016-04-23,26.556666666666665,9.7791
2016-04-24,26.48333333333333,9.7552
2016-04-25,26.41,9.7313
2016-04-26,26.33,9.7132
2016-04-27,26.56,9.7514
2016-04-28,26.74,9.8832
2016-04-29,27.03,10.007
2016-04-30,27.09,10.038166666666667
2016-05-01,27.15,10.069333333333333
2016-05-02,27.21,10.1005
2016-05-03,27.19,10.0996
2016-05-04,27.06,10.0084
2016-05-05,27.05,9.9315
2016-05-06,27.14,10.0019
2016-05-07,27.1,10.0009
2016-05-08,27.06,9.9999
2016-05-09,27.02,9.9989
2016-05-10,26.92,9.9205
2016-05-11,27.05,9.9532
2016-05-12,26.98,9.9137
2016-05-13,27.1,9.9947
2016-05-14,27.10666666666667,9.993533333333334
2016-05-15,27.113333333333333,9.992366666666666
2016-05-16,27.12,9.9912
2016-05-17,27.12,9.9746
2016-05-18,27.09,9.9661
2016-05-19,26.99,9.9001
2016-05-20,27.12,9.9202
2016-05-21,27.07333333333333,9.904866666666669
2016-05-22,27.026666666666667,9.889533333333333
2016-05-23,26.98,9.8742
2016-05-24,26.91,9.8462
2016-05-25,26.54,9.6626
2016-05-26,26.44,9.6563
2016-05-27,26.23,9.5585
2016-05-28,26.183333333333334,9.566433333333334
2016-05-29,26.136666666666667,9.574366666666666
2016-05-30,26.09,9.5823
2016-05-31,26.11,9.5424
2016-06-01,26.24,9.5883
2016-06-02,26.07,9.5946
2016-06-03,26.08,9.5915
2016-06-04,26.21,9.629966666666666
2016-06-05,26.34,9.668433333333333
2016-06-06,26.47,9.7069
2016-06-07,26.33,9.661
2016-06-08,26.36,9.713
2016-06-09,26.51,9.7705
2016-06-10,26.61,9.8132
2016-06-11,26.706666666666667,9.848933333333331
2016-06-12,26.80333333333333,9.884666666666668
2016-06-13,26.9,9.9204
2016-06-14,26.88,9.9128
2016-06-15,26.85,9.9156
2016-06-16,27.03,9.9875
2016-06-17,26.8,9.9215
2016-06-18,26.80666666666667,9.925633333333334
2016-06-19,26.813333333333333,9.929766666666666
2016-06-20,26.82,9.9339
2016-06-21,26.87,9.987
2016-06-22,26.7,9.9032
2016-06-23,26.64,9.8099
2016-06-24,26.97,10.1337
2016-06-25,27.07,10.1686
2016-06-26,27.17,10.2035
2016-06-27,27.27,10.2384
2016-06-28,27.27,10.1792
2016-06-29,27.34,10.1726
2016-06-30,27.21,10.1764
2016-07-01,27.3,10.241
2016-07-02,27.383333333333333,10.277166666666666
2016-07-03,27.46666666666667,10.313333333333334
2016-07-04,27.55,10.3495
2016-07-05,27.49,10.3329
2016-07-06,27.865,10.4043
2016-07-07,28.24,10.4757
2016-07-08,28.39,10.367
2016-07-09,28.42,10.3694
2016-07-10,28.45,10.3718
2016-07-11,28.48,10.3742
2016-07-12,28.38,10.4698
2016-07-13,28.32,10.3835
2016-07-14,28.08,10.2261
2016-07-15,28.01,10.2397
2016-07-16,28.05333333333333,10.2363
2016-07-17,28.096666666666668,10.2329
2016-07-18,28.14,10.2295
2016-07-19,28.0,10.252
2016-07-20,27.92,10.228
2016-07-21,27.93,10.2294
2016-07-22,28.03,10.2212
2016-07-23,28.02,10.221
2016-07-24,28.01,10.2208
2016-07-25,28.0,10.2206
2016-07-26,28.05,10.2581
2016-07-27,28.02,10.2369
2016-07-28,28.07,10.2897
2016-07-29,28.07,10.2812
2016-07-30,28.12,10.304266666666669
2016-07-31,28.17,10.327333333333334
2016-08-01,28.22,10.3504
2016-08-02,28.3,10.3773
2016-08-03,28.57,10.4691
2016-08-04,28.38,10.3865
2016-08-05,28.41,10.4201
2016-08-06,28.293333333333333,10.365666666666666
2016-08-07,28.176666666666662,10.311233333333334
2016-08-08,28.06,10.2568
2016-08-09,28.1,10.2896
2016-08-10,28.48,10.4323
2016-08-11,28.41,10.4621
2016-08-12,28.34,10.3558
2016-08-13,28.35,10.3804
2016-08-14,28.36,10.405
2016-08-15,28.37,10.4296
2016-08-16,28.38,10.4542
2016-08-17,28.52,10.42835
2016-08-18,28.66,10.4025
2016-08-19,29.09,10.4757
2016-08-20,28.886666666666667,10.4637
2016-08-21,28.683333333333334,10.4517
2016-08-22,28.48,10.4397
2016-08-23,28.43,10.4284
2016-08-24,28.47,10.435
2016-08-25,28.32,10.3358
2016-08-26,28.37,10.3416
2016-08-27,28.293333333333333,10.324033333333333
2016-08-28,28.21666666666667,10.306466666666669
2016-08-29,28.14,10.2889
2016-08-30,28.28,10.3184
2016-08-31,28.15,10.3092
2016-09-01,27.99,10.209
2016-09-02,27.97,10.2368
2016-09-03,27.9625,10.26195
2016-09-04,27.955,10.2871
2016-09-05,27.9475,10.31225
2016-09-06,27.94,10.3374
2016-09-07,28.22,10.3878
2016-09-08,28.07,10.3955
2016-09-09,28.07,10.3472
2016-09-10,28.09,10.3512
2016-09-11,28.11,10.3552
2016-09-12,28.13,10.3592
2016-09-13,28.125,10.36445
2016-09-14,28.12,10.3697
2016-09-15,28.51,10.3223
2016-09-16,28.17,10.3617
2016-09-17,28.21,10.369266666666666
2016-09-18,28.25,10.376833333333334
2016-09-19,28.29,10.3844
2016-09-20,28.33,10.3137
2016-09-21,28.39,10.3641
2016-09-22,28.49,10.4068
2016-09-23,28.43,10.4285
2016-09-24,28.42333333333333,10.408633333333333
2016-09-25,28.416666666666668,10.388766666666667
2016-09-26,28.41,10.3689
2016-09-27,28.32,10.3911
2016-09-28,28.15,10.3182
2016-09-29,28.42,10.3953
2016-09-30,28.3,10.3786
2016-10-01,28.276666666666667,10.3565
2016-10-02,28.25333333333333,10.3344
2016-10-03,28.23,10.3123
2016-10-04,28.16,10.2865
2016-10-05,27.88,10.0316
2016-10-06,27.84,10.0123
2016-10-07,27.63,9.8822
2016-10-08,27.656666666666663,9.9053
2016-10-09,27.683333333333334,9.9284
2016-10-10,27.71,9.9515
2016-10-11,27.686666666666667,9.961833333333333
2016-10-12,27.66333333333333,9.972166666666666
2016-10-13,27.64,9.9825
2016-10-14,27.55,9.9256
2016-10-15,27.516666666666666,9.893133333333331
2016-10-16,27.48333333333333,9.860666666666669
2016-10-17,27.45,9.8282
2016-10-18,27.41,9.899
2016-10-19,27.4,9.9532
2016-10-20,27.47,9.9527
2016-10-21,27.39,9.9556
2016-10-22,27.30666666666667,9.947866666666666
2016-10-23,27.223333333333333,9.940133333333334
2016-10-24,27.14,9.9324
2016-10-25,27.01,9.9392
2016-10-26,26.98,9.9756
2016-10-27,27.14,9.9833
2016-10-28,27.1,9.965
2016-10-29,27.1125,9.988275
2016-10-30,27.125,10.01155
2016-10-31,27.1375,10.034825
2016-11-01,27.15,10.0581
2016-11-02,27.34,10.1538
2016-11-03,27.31,10.103
2016-11-04,27.45,10.1651
2016-11-05,27.41,10.1456
