date,sbi_esg_exclusivory_fund_MF
2016-04-01,74.25
2016-04-02,74.4118
2016-04-03,74.5736
2016-04-04,74.7354
2016-04-05,73.4183
2016-04-06,73.4526
2016-04-07,73.0024
2016-04-08,72.9634
2016-04-09,73.34583333333333
2016-04-10,73.72826666666666
2016-04-11,74.1107
2016-04-12,74.4094
2016-04-13,75.4337
2016-04-14,75.53368
2016-04-15,75.63366
2016-04-16,75.73364
2016-04-17,75.83362
2016-04-18,75.9336
2016-04-19,75.94805
2016-04-20,75.9625
2016-04-21,76.0399
2016-04-22,75.8775
2016-04-23,75.8109
2016-04-24,75.7443
2016-04-25,75.6777
2016-04-26,76.4617
2016-04-27,76.5449
2016-04-28,75.5141
2016-04-29,75.5525
2016-04-30,75.38946666666666
2016-05-01,75.22643333333333
2016-05-02,75.0634
2016-05-03,74.6484
2016-05-04,74.078
2016-05-05,74.1844
2016-05-06,74.0823
2016-05-07,74.45293333333333
2016-05-08,74.82356666666666
2016-05-09,75.1942
2016-05-10,75.4327
2016-05-11,75.3754
2016-05-12,75.6723
2016-05-13,75.2857
2016-05-14,75.2964
2016-05-15,75.3071
2016-05-16,75.3178
2016-05-17,75.5302
2016-05-18,75.2716
2016-05-19,74.4188
2016-05-20,74.1726
2016-05-21,74.13743333333333
2016-05-22,74.10226666666667
2016-05-23,74.0671
2016-05-24,73.8513
2016-05-25,75.3156
2016-05-26,76.1194
2016-05-27,77.6745
2016-05-28,77.83713333333333
2016-05-29,77.99976666666667
2016-05-30,78.1624
2016-05-31,78.0998
2016-06-01,78.2861
2016-06-02,78.8159
2016-06-03,79.0585
2016-06-04,79.03016666666666
2016-06-05,79.00183333333334
2016-06-06,78.9735
2016-06-07,79.3615
2016-06-08,79.1625
2016-06-09,78.608
2016-06-10,78.1592
2016-06-11,78.05636666666666
2016-06-12,77.95353333333334
2016-06-13,77.8507
2016-06-14,77.8637
2016-06-15,78.6547
2016-06-16,78.2822
2016-06-17,78.4322
2016-06-18,78.63696666666667
2016-06-19,78.84173333333332
2016-06-20,79.0465
2016-06-21,78.8228
2016-06-22,78.7358
2016-06-23,79.3417
2016-06-24,77.9293
2016-06-25,78.00823333333334
2016-06-26,78.08716666666666
2016-06-27,78.1661
