date,SBI Magnum Midcap Fund,ICICI Prudential Infrastructure Fund,Nippon India Small Cap Fund,ICICI Prudential Bluechip Fund,UTI Transportation & Logistics Fund,Franklin Build India Fund
2016-04-01,58.1435,36.34,25.1755,15.03,86.685,28.4771
2016-04-02,58.294133333333335,36.406666666666666,25.22993333333333,15.06,86.90433333333334,28.53353333333333
2016-04-03,58.444766666666666,36.473333333333336,25.284366666666667,15.09,87.12366666666667,28.589966666666665
2016-04-04,58.5954,36.54,25.3388,15.12,87.343,28.6464
2016-04-05,58.068,35.83,25.0409,14.84,85.4249,27.8835
2016-04-06,58.4219,35.75,25.2899,14.87,85.8335,28.0639
2016-04-07,58.5095,35.75,25.244,14.77,85.2532,27.9013
2016-04-08,58.7317,35.8775,25.311075,14.8275,85.60537500000001,28.057925
2016-04-09,58.9539,36.004999999999995,25.37815,14.885,85.95755,28.21455
2016-04-10,59.1761,36.1325,25.445225,14.9425,86.309725,28.371175
2016-04-11,59.3983,36.26,25.5123,15.0,86.6619,28.5278
2016-04-12,60.1971,36.75,25.7058,15.08,87.8177,28.6602
2016-04-13,60.9597,37.17,25.9697,15.31,89.4627,29.1901
2016-04-14,61.1267,37.224,26.02414,15.344,89.50753999999999,29.231540000000003
2016-04-15,61.2937,37.278,26.07858,15.378,89.55238,29.27298
2016-04-16,61.4607,37.332,26.13302,15.412,89.59722,29.31442
2016-04-17,61.6277,37.386,26.18746,15.446,89.64206,29.35586
2016-04-18,61.7947,37.44,26.2419,15.48,89.6869,29.3973
2016-04-19,61.89875,37.645,26.301,15.49,89.7919,29.4546
2016-04-20,62.0028,37.85,26.3601,15.5,89.8969,29.5119
2016-04-21,61.7154,38.13,26.2148,15.48,89.5422,29.6
2016-04-22,61.5887,38.14,26.2212,15.49,89.7463,29.7981
2016-04-23,61.4568,38.11666666666667,26.204066666666662,15.466666666666669,89.60216666666668,29.7602
2016-04-24,61.3249,38.09333333333333,26.18693333333333,15.443333333333332,89.45803333333333,29.7223
2016-04-25,61.193,38.07,26.1698,15.42,89.3139,29.6844
2016-04-26,61.7163,38.33,26.3579,15.63,90.0855,30.1162
2016-04-27,61.9841,38.23,26.4477,15.66,90.3877,29.9704
2016-04-28,61.3322,37.58,26.2237,15.44,88.9597,29.6395
2016-04-29,61.2216,37.68,26.1612,15.47,88.8835,29.5264
2016-04-30,61.440666666666665,37.63666666666666,26.238833333333336,15.453333333333331,88.8365,29.457833333333333
2016-05-01,61.659733333333335,37.59333333333333,26.316466666666667,15.436666666666667,88.7895,29.389266666666664
2016-05-02,61.8788,37.55,26.3941,15.42,88.7425,29.3207
2016-05-03,61.7287,37.37,26.3453,15.34,88.8661,29.1733
2016-05-04,61.5166,36.98,26.0511,15.24,87.0602,28.8486
2016-05-05,61.4946,36.89,26.1523,15.28,86.9246,28.8019
2016-05-06,61.425,36.98,26.0068,15.27,87.0951,28.8704
2016-05-07,61.68103333333333,37.10333333333333,26.1256,15.346666666666666,87.46393333333333,29.034133333333333
2016-05-08,61.93706666666667,37.22666666666667,26.2444,15.423333333333334,87.83276666666667,29.197866666666663
2016-05-09,62.1931,37.35,26.3632,15.5,88.2016,29.3616
2016-05-10,62.1774,37.41,26.5147,15.53,87.6907,29.4242
2016-05-11,62.5141,37.32,26.5808,15.49,87.3329,29.3417
2016-05-12,62.9198,37.66,26.842,15.58,88.1121,29.5171
2016-05-13,62.8613,37.56,26.728,15.47,87.5611,29.3511
2016-05-14,62.8562,37.52,26.71956666666667,15.493333333333334,87.6374,29.29733333333333
2016-05-15,62.8511,37.48,26.711133333333333,15.516666666666666,87.7137,29.243566666666663
2016-05-16,62.846,37.44,26.7027,15.54,87.79,29.1898
2016-05-17,62.8992,37.57,26.6716,15.61,87.8789,29.321
2016-05-18,62.8954,37.65,26.7782,15.57,87.3289,29.3572
2016-05-19,62.1037,37.34,26.5193,15.41,86.6219,28.9929
2016-05-20,61.7869,37.13,26.3015,15.36,86.4367,28.7835
2016-05-21,61.724900000000005,37.16666666666667,26.2428,15.34,86.34023333333333,28.75633333333333
2016-05-22,61.6629,37.20333333333333,26.1841,15.32,86.24376666666667,28.729166666666668
2016-05-23,61.6009,37.24,26.1254,15.3,86.1473,28.702
2016-05-24,61.3248,37.21,26.0139,15.31,85.771,28.7058
2016-05-25,62.0379,37.81,26.2371,15.63,86.8553,29.326
2016-05-26,62.9955,38.29,26.3453,15.91,87.4415,29.9322
2016-05-27,63.0822,38.46,26.573,16.05,88.0096,30.0439
2016-05-28,63.2878,38.516666666666666,26.598266666666667,16.083333333333332,88.2313,30.067833333333333
2016-05-29,63.4934,38.57333333333334,26.62353333333333,16.116666666666667,88.453,30.09176666666667
2016-05-30,63.699,38.63,26.6488,16.15,88.6747,30.1157
2016-05-31,63.6294,38.52,26.6078,16.11,90.2921,30.3453
2016-06-01,63.7314,38.52,26.6497,16.15,90.121,30.2516
2016-06-02,64.2549,38.73,26.761,16.24,90.5097,30.4846
2016-06-03,64.4851,38.78,26.6633,16.23,90.5759,30.3775
2016-06-04,64.50323333333334,38.77333333333333,26.677566666666667,16.21666666666667,90.61296666666668,30.370933333333333
2016-06-05,64.52136666666667,38.766666666666666,26.69183333333333,16.203333333333333,90.65003333333334,30.36436666666667
2016-06-06,64.5395,38.76,26.7061,16.19,90.6871,30.3578
2016-06-07,65.0124,39.14,26.8975,16.27,91.1372,30.7771
2016-06-08,65.2508,39.52,27.1758,16.3,91.6596,30.9533
2016-06-09,64.9544,39.68,27.1899,16.22,91.187,30.9011
2016-06-10,64.5185,39.58,27.1542,16.14,90.484,30.6792
2016-06-11,64.43656666666666,39.406666666666666,27.1084,16.103333333333335,90.30073333333333,30.54113333333333
2016-06-12,64.35463333333334,39.23333333333333,27.0626,16.066666666666666,90.11746666666669,30.403066666666668
2016-06-13,64.2727,39.06,27.0168,16.03,89.9342,30.265
2016-06-14,64.3341,39.12,27.0916,16.03,89.985,30.3779
2016-06-15,64.4618,39.7,27.3569,16.23,90.6989,30.8164
2016-06-16,63.8334,39.51,27.2203,16.12,90.1245,30.5985
2016-06-17,63.9334,39.7,27.279,16.19,90.4678,30.7225
2016-06-18,63.9455,39.75,27.293333333333333,16.236666666666668,90.67903333333334,30.77433333333333
2016-06-19,63.9576,39.8,27.307666666666663,16.28333333333333,90.89026666666666,30.826166666666666
2016-06-20,63.9697,39.85,27.322,16.33,91.1015,30.878
2016-06-21,63.9205,39.87,27.3404,16.31,91.1896,30.8262
2016-06-22,63.7701,39.87,27.2642,16.27,90.9245,30.7552
2016-06-23,63.7594,39.92,27.1941,16.4,91.3751,31.0318
2016-06-24,63.2822,39.23,26.763,16.04,89.9957,30.4158
2016-06-25,63.5716,39.31,26.93413333333333,16.046666666666667,90.04326666666667,30.514666666666667
2016-06-26,63.861,39.39,27.105266666666665,16.05333333333333,90.09083333333334,30.613533333333333
2016-06-27,64.1504,39.47,27.2764,16.06,90.1384,30.7124
2016-06-28,64.4569,39.77,27.4779,16.11,90.3089,30.8645
