date,Vanguard High-Yield Corporate Bond Fund,American Century Diversified Bond Fund,T. Rowe Price High-Yield Bond Fund,Vanguard Intermediate-Term Bond Fund,American Century Government Bond Fund
2016-04-01,5.59,10.89,6.26,9.9,11.31
2016-04-04,5.6,10.89,6.27,9.91,11.32
2016-04-05,5.59,10.92,6.26,9.94,11.34
2016-04-06,5.6,10.9,6.27,9.92,11.32
2016-04-07,5.59,10.93,6.26,9.95,11.35
2016-04-08,5.6,10.92,6.27,9.94,11.34
2016-04-11,5.61,10.92,6.28,9.94,11.34
2016-04-12,5.62,10.9,6.29,9.92,11.31
2016-04-13,5.64,10.91,6.32,9.93,11.32
2016-04-14,5.65,10.9,6.33,9.92,11.31
2016-04-15,5.65,10.92,6.33,9.94,11.33
2016-04-18,5.65,10.92,6.33,9.94,11.32
2016-04-19,5.67,10.92,6.35,9.94,11.31
2016-04-20,5.69,10.89,6.37,9.92,11.28
2016-04-21,5.69,10.89,6.37,9.92,11.27
2016-04-22,5.68,10.88,6.37,9.92,11.26
2016-04-25,5.67,10.87,6.37,9.91,11.25
2016-04-26,5.68,10.86,6.37,9.9,11.24
2016-04-27,5.69,10.89,6.38,9.94,11.27
2016-04-28,5.71,10.92,6.39,9.96,11.29
2016-04-29,5.71,10.92,6.39,9.96,11.29
2016-05-02,5.71,10.9,6.39,9.94,11.27
2016-05-03,5.69,10.93,6.37,9.97,11.3
2016-05-04,5.67,10.93,6.36,9.98,11.32
2016-05-05,5.67,10.95,6.36,9.99,11.33
2016-05-06,5.65,10.93,6.34,9.97,11.32
2016-05-09,5.65,10.94,6.34,9.98,11.33
2016-05-10,5.66,10.94,6.35,9.98,11.33
2016-05-11,5.67,10.95,6.36,9.99,11.34
2016-05-12,5.67,10.94,6.36,9.97,11.33
2016-05-13,5.67,10.95,6.36,9.99,11.34
2016-05-16,5.67,10.93,6.36,9.96,11.32
2016-05-17,5.68,10.92,6.37,9.96,11.31
2016-05-18,5.67,10.88,6.37,9.9,11.27
2016-05-19,5.65,10.88,6.35,9.91,11.28
2016-05-20,5.66,10.88,6.37,9.91,11.28
2016-05-23,5.66,10.88,6.37,9.91,11.28
2016-05-24,5.67,10.87,6.38,9.9,11.27
2016-05-25,5.68,10.87,6.39,9.9,11.26
2016-05-26,5.69,10.9,6.4,9.93,11.28
2016-05-27,5.68,10.88,6.4,9.91,11.27
2016-05-31,5.68,10.89,6.41,9.92,11.28
2016-06-01,5.67,10.89,6.4,9.92,11.28
2016-06-02,5.67,10.91,6.41,9.94,11.29
2016-06-03,5.68,10.96,6.41,9.99,11.34
2016-06-06,5.69,10.95,6.43,9.98,11.33
2016-06-07,5.7,10.96,6.44,9.99,11.34
2016-06-08,5.72,10.97,6.46,10.0,11.34
2016-06-09,5.72,10.98,6.46,10.01,11.36
2016-06-10,5.71,10.99,6.44,10.02,11.37
2016-06-13,5.69,11.0,6.43,10.03,11.39
2016-06-14,5.66,10.98,6.4,10.01,11.38
2016-06-15,5.67,11.0,6.4,10.04,11.4
2016-06-16,5.65,11.0,6.38,10.03,11.4
2016-06-17,5.66,10.99,6.39,10.02,11.39
