date,PIMCO Commodity Fund,Invesco DB Commodity Index Fund,SPDR Gold Shares (GLD),iShares Gold Trust (IAU),United States Oil Fund (USO),Energy Select Sector SPDR ETF (XLE)
2016-04-01,18.63,13.06,116.93,23.62,74.6335,61.06
2016-04-04,18.45,12.88,116.15,23.44,72.64,60.6092
2016-04-05,18.39,12.85,117.66,23.76,73.04,60.2
2016-04-06,18.54,12.99,116.94,23.62,76.8,61.5
2016-04-07,18.48,12.95,118.61,23.96,76.08,61.14
2016-04-08,18.87,13.26,118.43,23.92,80.24,62.37
2016-04-11,18.93,13.36,120.03,24.24,82.24,62.11
2016-04-12,19.29,13.65,120.05,24.26,85.12,63.96
2016-04-13,19.35,13.72,118.77,24.0,84.08,64.26
2016-04-14,19.2,13.61,117.11,23.66,83.84,64.41
2016-04-15,19.14,13.56,117.92,23.82,82.0,63.5392
2016-04-18,19.2,13.62,117.74,23.74,81.36,64.59
2016-04-19,19.68,13.91,119.58,24.12,83.52,65.88
2016-04-20,20.04,14.18,118.97,24.0,86.08,66.47
2016-04-21,19.92,14.12,119.42,24.1,85.76,66.08
2016-04-22,19.8,14.06,117.89,23.82,86.08,67.04
2016-04-25,19.77,14.05,118.23,23.86,84.4,66.29
2016-04-26,19.98,14.23,118.7,23.98,86.48,67.35
2016-04-27,20.13,14.36,119.04,24.04,89.12,68.63
2016-04-28,20.34,14.44,121.29,24.46,89.76,67.61
2016-04-29,20.49,14.58,123.65,24.96,90.4,67.5
2016-05-02,20.28,14.38,123.24,24.9,88.4,67.43
2016-05-03,20.01,14.16,122.96,24.84,85.92,65.84
2016-05-04,19.95,14.17,122.21,24.72,86.32,64.89
2016-05-05,19.83,14.03,122.07,24.68,87.2,65.42
2016-05-06,19.98,14.12,123.18,24.88,87.68,65.27
2016-05-09,19.59,13.81,120.65,24.34,85.44,64.32
2016-05-10,19.98,14.15,120.98,24.44,87.92,65.45
2016-05-11,20.31,14.48,122.12,24.66,90.72,65.65
2016-05-12,20.31,14.5,121.16,24.46,91.6,65.8308
2016-05-13,20.25,14.48,121.71,24.56,90.96,64.99
2016-05-16,20.4,14.64,121.8,24.6,94.08,66.09
2016-05-17,20.55,14.75,122.22,24.68,95.36,66.4
2016-05-18,20.4,14.64,120.1,24.22,93.6,65.76
2016-05-19,20.22,14.6,119.87,24.18,94.32,65.77
2016-05-20,20.25,14.66,119.71,24.12,94.0,66.16
2016-05-23,20.13,14.58,119.37,24.1,93.28,65.99
2016-05-24,20.07,14.58,117.3,23.68,94.56,66.32
2016-05-25,20.34,14.75,116.98,23.62,96.24,67.37
2016-05-26,20.4,14.74,116.58,23.52,95.6,67.09
2016-05-27,20.4,14.8,115.62,23.36,95.84,67.13
2016-05-31,20.34,14.71,116.06,23.44,94.96,66.87
2016-06-01,20.49,14.86,115.94,23.38,95.44,66.89
2016-06-02,20.67,14.89,115.67,23.32,94.88,66.8
2016-06-03,20.85,14.99,118.88,23.96,94.56,66.54
2016-06-06,21.09,15.17,118.92,24.0,96.32,68.0108
2016-06-07,21.15,15.32,118.82,23.98,97.76,69.55
2016-06-08,21.57,15.58,120.58,24.36,99.44,69.39
2016-06-09,21.54,15.55,121.25,24.5,98.0,68.86
2016-06-10,21.33,15.36,121.74,24.6,94.96,67.37
2016-06-13,21.33,15.36,122.64,24.78,94.08,67.17
2016-06-14,21.21,15.26,122.77,24.8,93.84,67.13
2016-06-15,21.21,15.18,123.68,24.98,91.76,66.9708
2016-06-16,20.82,14.92,122.38,24.72,89.12,66.65
2016-06-17,21.18,15.27,123.95,25.04,93.28,66.89
2016-06-20,21.36,15.41,123.21,24.9,95.28,67.47
2016-06-21,21.12,15.29,120.84,24.42,95.12,68.27
2016-06-22,21.03,15.2,120.9,24.4,93.92,67.89
2016-06-23,21.12,15.32,120.11,24.24,95.84,69.01
2016-06-24,20.79,15.01,126.01,25.44,91.2,66.78
2016-06-27,20.7,14.98,126.68,25.6,89.52,64.64
2016-06-28,21.12,15.22,125.32,25.32,91.76,66.44
2016-06-29,21.36,15.44,125.84,25.4,94.32,67.7
2016-06-30,21.33,15.35,126.47,25.52,92.56,68.24
2016-07-01,21.63,15.54,128.41,25.94,94.24,68.6
2016-07-05,21.03,15.1,129.47,26.16,89.44,67.22
2016-07-06,21.09,15.16,130.23,26.32,90.64,67.5092
2016-07-07,20.58,14.73,129.74,26.22,86.56,66.8192
2016-07-08,20.79,14.88,130.52,26.36,86.64,67.71
2016-07-11,20.7,14.82,129.29,26.14,85.2,67.84
2016-07-12,21.06,15.1,127.15,25.7,89.52,69.52
2016-07-13,20.91,14.91,128.32,25.92,86.0,68.92
2016-07-14,20.97,14.97,127.33,25.72,86.96,69.27
2016-07-15,20.85,14.93,126.84,25.64,87.92,69.23
2016-07-18,20.82,14.86,127.04,25.68,86.56,69.28
2016-07-19,20.64,14.77,127.21,25.7,85.6,68.8892
2016-07-20,20.49,14.67,125.39,25.34,85.84,68.79
2016-07-21,20.46,14.59,127.3,25.72,83.92,68.11
2016-07-22,20.34,14.56,126.35,25.52,83.36,68.32
2016-07-25,20.16,14.4,125.47,25.36,81.04,66.96
2016-07-26,20.1,14.34,126.0,25.46,80.64,67.35
