date,Vanguard 500 Index Fund,Fidelity Contrafund,American Funds Growth Fund of America,T. Rowe Price Mid-Cap Growth Fund,Vanguard Small-Cap Index Fund,Fidelity Balanced Fund
2016-04-01,191.19,9.75,40.48,73.470001,53.57,21.32
2016-04-04,190.61,9.72,40.34,72.989998,53.12,21.28
2016-04-05,188.68,9.64,39.990002,72.169998,52.55,21.14
2016-04-06,190.73,9.75,40.59,73.160004,53.12,21.31
2016-04-07,188.45,9.64,40.099998,72.330002,52.44,21.15
2016-04-08,188.98,9.65,40.27,72.5,52.73,21.1
2016-04-11,188.46,9.61,40.16,72.190002,52.62,21.06
2016-04-12,190.29,9.68,40.610001,72.620003,53.15,21.17
2016-04-13,192.23,9.79,41.110001,73.720001,54.15,21.35
2016-04-14,192.28,9.8,41.130001,73.540001,54.04,21.36
2016-04-15,192.09,9.8,41.029999,73.629997,54.17,21.37
2016-04-18,193.35,9.87,41.310001,74.029999,54.48,21.48
2016-04-19,193.95,9.88,41.25,74.059998,54.66,21.54
2016-04-20,194.11,9.89,41.389999,74.370003,54.69,21.56
2016-04-21,193.1,9.86,41.34,73.989998,54.32,21.5
2016-04-22,193.11,9.79,41.27,74.169998,54.85,21.51
2016-04-25,192.76,9.79,41.130001,73.970001,54.51,21.49
2016-04-26,193.12,9.78,41.25,74.419998,55.05,21.52
2016-04-27,193.46,9.77,41.310001,74.75,55.34,21.58
2016-04-28,191.68,9.7,40.889999,73.769997,54.69,21.47
2016-04-29,190.72,9.69,40.91,73.290001,54.36,21.41
2016-05-02,192.2,9.78,41.27,73.870003,54.78,21.5
2016-05-03,190.54,9.67,40.709999,73.199997,53.92,21.36
2016-05-04,189.45,9.61,40.400002,72.669998,53.64,21.26
2016-05-05,189.45,9.61,40.400002,72.540001,53.5,21.27
2016-05-06,190.08,9.67,40.470001,72.790001,53.8,21.3
2016-05-09,190.22,9.68,40.490002,73.0,53.87,21.31
2016-05-10,192.6,9.79,41.07,73.849998,54.44,21.49
2016-05-11,190.86,9.7,40.740002,73.110001,53.84,21.38
2016-05-12,190.84,9.7,40.669998,73.059998,53.64,21.35
2016-05-13,189.24,9.63,40.349998,72.540001,53.24,21.27
2016-05-16,191.11,9.71,40.779999,73.25,53.83,21.4
2016-05-17,189.37,9.61,40.459999,72.779999,53.23,21.29
2016-05-18,189.44,9.63,40.470001,72.760002,53.22,21.29
2016-05-19,188.74,9.6,40.259998,72.510002,52.93,21.23
2016-05-20,189.91,9.66,40.630001,73.510002,53.65,21.33
2016-05-23,189.52,9.64,40.630001,73.300003,53.59,21.29
2016-05-24,192.11,9.77,41.209999,74.410004,54.51,21.47
2016-05-25,193.46,9.82,41.509998,74.690002,54.88,21.56
2016-05-26,193.45,9.83,41.549999,74.669998,54.82,21.57
2016-05-27,194.31,9.86,41.73,75.199997,55.25,21.64
2016-05-31,194.13,9.85,41.77,75.220001,55.41,21.63
2016-06-01,194.38,9.86,41.84,75.349998,55.72,21.66
2016-06-02,194.95,9.89,42.040001,75.860001,56.1,21.74
2016-06-03,194.39,9.85,42.0,75.449997,55.83,21.71
2016-06-06,195.35,9.89,42.279999,75.800003,56.38,21.8
2016-06-07,195.6,9.89,42.330002,75.940002,56.58,21.82
2016-06-08,196.29,9.93,42.450001,76.209999,56.88,21.88
2016-06-09,195.96,9.91,42.299999,75.970001,56.6,21.84
2016-06-10,194.17,9.79,41.66,74.879997,55.71,21.66
2016-06-13,192.65,9.71,41.419998,74.209999,54.94,21.54
2016-06-14,192.31,9.7,41.32,74.010002,54.77,21.47
2016-06-15,191.98,9.68,41.299999,74.050003,54.89,21.47
2016-06-16,192.61,9.69,41.299999,74.059998,54.81,21.49
2016-06-17,191.98,9.62,41.169998,73.900002,54.81,21.44
2016-06-20,192.14,9.7,41.529999,74.75,55.42,21.53
2016-06-21,192.68,9.72,41.59,74.68,55.33,21.55
2016-06-22,192.36,9.69,41.52,74.57,55.17,21.53
2016-06-23,194.93,9.81,42.130001,75.629997,56.16,21.74
2016-06-24,187.93,9.45,40.41,72.599998,54.01,21.21
2016-06-27,184.53,9.26,39.509998,70.650002,52.36,20.92
2016-06-28,187.85,9.45,40.330002,72.110001,53.39,21.19
2016-06-29,191.07,9.62,41.029999,73.410004,54.49,21.45
2016-06-30,193.66,9.7,41.400002,74.43,55.41,21.64
2016-07-01,194.08,9.74,41.599998,74.699997,55.61,21.7
2016-07-05,192.76,9.68,41.23,73.980003,54.87,21.59
2016-07-06,193.86,9.74,41.439999,74.449997,55.22,21.68
2016-07-07,193.71,9.74,41.490002,74.769997,55.31,21.68
2016-07-08,196.66,9.88,42.119999,76.150002,56.42,21.83
2016-07-11,197.33,9.93,42.349998,76.459999,56.86,21.89
2016-07-12,198.72,9.99,42.720001,76.989998,57.51,21.99
2016-07-13,198.76,9.97,42.599998,76.790001,57.34,21.97
2016-07-14,199.81,10.02,42.880001,77.0,57.42,22.04
2016-07-15,199.62,10.0,42.84,76.790001,57.48,22.02
2016-07-18,200.11,10.04,42.990002,76.879997,57.6,22.07
2016-07-19,199.82,10.03,42.75,76.839996,57.38,22.05
2016-07-20,200.7,10.09,43.009998,77.480003,57.76,22.13
2016-07-21,199.98,10.02,42.830002,77.220001,57.51,22.08
2016-07-22,200.89,10.06,42.91,77.650002,57.91,22.16
2016-07-25,200.29,10.05,42.73,77.470001,57.74,22.08
2016-07-26,200.36,10.05,42.889999,78.010002,58.04,22.11
2016-07-27,200.12,10.06,42.919998,77.75,57.93,22.14
2016-07-28,200.46,10.11,43.07,78.050003,58.03,22.17
2016-07-29,200.79,10.14,43.209999,78.199997,58.22,22.21
2016-08-01,200.54,10.15,43.200001,77.959999,58.11,22.17
2016-08-02,199.27,10.09,42.91,77.150002,57.37,22.05
2016-08-03,199.95,10.11,43.110001,77.330002,57.78,22.09
2016-08-04,200.04,10.13,43.169998,77.559998,57.81,22.13
2016-08-05,201.77,10.21,43.57,78.139999,58.42,22.22
2016-08-08,201.6,10.18,43.549999,77.849998,58.41,22.23
2016-08-09,201.69,10.21,43.619999,77.769997,58.41,22.27
2016-08-10,201.19,10.19,43.529999,77.669998,58.13,22.24
2016-08-11,202.17,10.23,43.790001,78.080002,58.34,22.33
2016-08-12,202.02,10.23,43.82,77.870003,58.33,22.35
2016-08-15,202.6,10.24,44.0,78.290001,58.82,22.41
2016-08-16,201.53,10.17,43.759998,77.610001,58.29,22.32
2016-08-17,201.95,10.19,43.799999,77.599998,58.16,22.35
2016-08-18,202.4,10.2,43.970001,77.900002,58.58,22.4
2016-08-19,202.14,10.2,43.889999,78.059998,58.56,22.4
2016-08-22,202.03,10.21,43.880001,78.129997,58.63,22.41
2016-08-23,202.43,10.23,44.009998,78.449997,59.0,22.45
2016-08-24,201.38,10.17,43.650002,77.879997,58.49,22.36
2016-08-25,201.11,10.17,43.59,77.699997,58.61,22.34
2016-08-26,200.8,10.17,43.59,77.68,58.45,22.33
2016-08-29,201.87,10.21,43.740002,78.040001,58.83,22.41
2016-08-30,201.51,10.19,43.619999,77.870003,58.81,22.37
2016-08-31,201.07,10.16,43.470001,77.669998,58.59,22.32
2016-09-01,201.06,10.18,43.529999,77.870003,58.59,22.33
2016-09-02,201.92,10.21,43.709999,78.269997,59.16,22.41
2016-09-06,202.52,10.27,44.0,78.169998,59.22,22.45
2016-09-07,202.54,10.27,44.009998,78.209999,59.51,22.45
2016-09-08,202.1,10.23,43.98,77.900002,59.34,22.4
2016-09-09,197.15,9.99,42.900002,76.010002,57.56,22.01
2016-09-12,199.16,10.12,43.48,77.110001,58.27,22.22
2016-09-13,196.27,9.99,42.810001,76.059998,57.18,21.99
2016-09-14,196.17,10.0,42.84,75.910004,57.09,21.99
2016-09-15,198.19,10.1,43.32,76.760002,57.74,22.15
2016-09-16,197.44,10.08,43.200001,76.290001,57.54,22.11
2016-09-19,197.44,10.07,43.139999,76.559998,57.63,22.11
2016-09-20,197.5,10.09,43.16,76.470001,57.41,22.11
2016-09-21,199.66,10.19,43.669998,77.230003,58.21,22.29
2016-09-22,200.96,10.26,43.98,77.790001,58.97,22.44
2016-09-23,199.81,10.19,43.700001,77.190002,58.55,22.34
2016-09-26,198.11,10.11,43.34,76.660004,58.12,22.22
2016-09-27,199.39,10.19,43.630001,77.059998,58.23,22.3
2016-09-28,200.49,10.22,44.009998,77.360001,58.74,22.38
2016-09-29,198.63,10.13,43.73,76.860001,58.05,22.24
2016-09-30,200.21,10.21,44.080002,77.57,58.55,22.36
2016-10-03,199.58,10.19,44.029999,77.389999,58.23,22.31
2016-10-04,198.61,10.15,43.869999,76.919998,57.91,22.23
2016-10-05,199.54,10.18,44.209999,77.230003,58.22,22.29
2016-10-06,199.65,10.18,44.16,77.120003,58.18,22.3
2016-10-07,199.0,10.15,44.029999,76.599998,57.78,22.26
2016-10-10,199.92,10.2,44.25,76.879997,58.29,22.32
2016-10-11,197.44,10.07,43.549999,75.559998,57.33,22.13
2016-10-12,197.68,10.1,43.5,75.650002,57.37,22.15
2016-10-13,197.07,10.04,43.32,75.370003,57.05,22.09
2016-10-14,197.11,10.05,43.32,75.339996,56.93,21.78
2016-10-17,196.52,10.02,43.16,75.089996,56.82,21.73
2016-10-18,197.73,10.11,43.689999,75.599998,57.18,21.86
2016-10-19,198.19,10.16,43.91,75.720001,57.43,21.92
2016-10-20,197.93,10.15,43.869999,75.529999,57.25,21.92
2016-10-21,197.91,10.18,43.900002,75.589996,57.16,21.9
2016-10-24,198.85,10.25,44.130001,76.010002,57.43,21.96
2016-10-25,198.1,10.17,43.880001,75.230003,56.94,21.89
2016-10-26,197.76,10.11,43.779999,74.970001,56.57,21.81
2016-10-27,197.18,10.06,43.669998,74.089996,55.92,21.75
2016-10-28,196.58,10.05,43.349998,74.440002,55.9,21.71
2016-10-31,196.55,10.04,43.27,74.730003,56.15,21.69
2016-11-01,195.22,9.97,43.080002,74.330002,55.56,21.59
2016-11-02,193.97,9.89,42.77,73.980003,54.91,21.48
2016-11-03,193.18,9.82,42.52,73.769997,54.72,21.4
2016-11-04,192.87,9.81,42.419998,73.879997,54.89,21.38
2016-11-07,197.16,10.01,43.389999,75.370003,56.13,21.66
2016-11-08,198.0,10.07,43.580002,75.690002,56.27,21.67
2016-11-09,200.21,10.1,43.900002,76.239998,57.5,21.76
2016-11-10,200.62,10.03,43.77,76.519997,57.94,21.73
2016-11-11,200.34,10.02,43.57,76.57,58.76,21.73
2016-11-14,200.34,9.93,43.5,77.059998,59.65,21.67
2016-11-15,201.89,10.02,43.880001,77.610001,59.93,21.8
2016-11-16,201.62,10.04,43.860001,77.629997,59.87,21.81
2016-11-17,202.58,10.12,44.07,78.209999,60.18,21.89
2016-11-18,202.13,10.09,43.959999,77.93,60.25,21.83
2016-11-21,203.64,10.18,44.470001,78.339996,60.66,21.94
2016-11-22,204.09,10.19,44.57,78.580002,61.1,21.98
2016-11-23,204.26,10.18,44.630001,78.959999,61.44,22.0
2016-11-25,205.06,10.19,44.66,79.209999,61.66,22.03
2016-11-28,204.01,10.13,44.34,78.540001,61.02,21.96
2016-11-29,204.33,10.16,44.389999,78.690002,61.04,21.97
2016-11-30,203.83,10.1,44.529999,77.989998,60.98,21.95
2016-12-01,203.13,10.0,44.27,77.239998,60.66,21.87
2016-12-02,203.21,9.99,44.27,77.459999,60.75,21.89
2016-12-05,204.41,10.1,44.610001,78.139999,61.56,22.0
2016-12-06,205.11,10.12,44.73,78.599998,62.18,22.08
2016-12-07,207.85,10.26,45.18,79.25,62.79,22.28
2016-12-08,208.32,10.28,45.32,79.559998,63.54,22.33
2016-12-09,209.56,10.01,45.529999,79.669998,63.51,22.17
2016-12-12,209.33,9.96,45.330002,79.18,62.94,22.11
2016-12-13,210.74,10.05,45.68,79.449997,63.01,22.21
2016-12-14,209.04,9.98,45.330002,76.230003,62.19,22.05
2016-12-15,209.86,10.0,45.450001,76.660004,62.52,22.09
2016-12-16,209.5,9.96,45.299999,76.330002,62.45,22.08
2016-12-19,209.92,9.98,45.32,76.290001,62.79,22.13
2016-12-20,210.71,10.02,45.450001,76.639999,63.19,22.17
2016-12-21,208.89,10.01,42.630001,76.449997,62.51,22.15
2016-12-22,208.53,9.97,42.5,75.849998,62.04,22.11
2016-12-23,208.81,9.98,42.52,76.150002,62.33,22.14
2016-12-27,209.28,10.01,42.669998,76.330002,62.58,22.18
2016-12-28,207.57,9.93,42.380001,75.629997,61.89,22.08
2016-12-29,207.52,9.92,42.299999,75.629997,62.0,22.08
2016-12-30,206.57,9.85,42.040001,75.370003,61.77,22.02
2017-01-03,208.33,9.94,42.41,75.849998,62.19,22.17
2017-01-04,209.56,10.04,42.740002,76.980003,63.21,22.3
2017-01-05,209.41,10.06,42.860001,76.669998,62.73,22.32
2017-01-06,210.21,10.13,43.07,76.980003,62.64,22.38
2017-01-09,209.46,10.11,43.029999,76.849998,62.25,22.36
2017-01-10,209.46,10.13,43.200001,77.129997,62.68,22.38
2017-01-11,210.07,10.18,43.310001,77.290001,62.85,22.42
2017-01-12,209.63,10.16,43.27,77.120003,62.5,22.38
2017-01-13,210.01,10.21,43.439999,77.389999,62.89,22.42
2017-01-17,209.39,10.16,43.299999,77.07,62.28,22.37
2017-01-18,209.79,10.18,43.41,77.440002,62.54,22.37
2017-01-19,209.04,10.16,43.419998,77.120003,62.08,22.33
2017-01-20,209.75,10.18,43.57,77.269997,62.34,22.37
2017-01-23,209.19,10.18,43.549999,76.980003,62.18,22.37
2017-01-24,210.56,10.27,43.939999,77.629997,63.06,22.47
2017-01-25,212.25,10.38,44.310001,78.25,63.56,22.59
2017-01-26,212.1,10.39,44.369999,78.110001,63.36,22.58
2017-01-27,211.93,10.37,44.360001,78.059998,63.09,22.55
2017-01-30,210.66,10.3,44.0,77.650002,62.4,22.44
2017-01-31,210.48,10.28,43.950001,77.900002,62.74,22.46
2017-02-01,210.59,10.31,44.040001,77.849998,62.63,22.49
2017-02-02,210.72,10.3,44.080002,77.910004,62.62,22.51
2017-02-03,212.27,10.37,44.27,78.550003,63.44,22.61
2017-02-06,211.82,10.36,44.139999,78.290001,63.08,22.6
2017-02-07,211.88,10.37,44.060001,78.269997,62.85,22.62
2017-02-08,212.09,10.39,44.139999,78.639999,62.86,22.66
2017-02-09,213.35,10.46,44.389999,79.470001,63.59,22.77
2017-02-10,214.12,10.46,44.599998,79.690002,63.99,22.83
2017-02-13,215.3,10.51,44.830002,79.870003,64.14,22.9
2017-02-14,216.23,10.55,44.919998,80.040001,64.35,22.96
2017-02-15,217.34,10.6,45.040001,80.419998,64.64,23.03
2017-02-16,217.17,10.58,44.93,80.120003,64.49,23.02
2017-02-17,217.54,10.6,44.990002,80.589996,64.55,23.07
2017-02-21,218.85,10.66,45.200001,80.970001,65.09,23.17
2017-02-22,218.64,10.67,45.07,80.809998,64.78,23.15
2017-02-23,218.75,10.64,44.98,80.459999,64.43,23.15
2017-02-24,219.13,10.63,44.970001,80.830002,64.48,23.18
2017-02-27,219.39,10.64,45.110001,81.07,65.01,23.21
2017-02-28,218.83,10.6,44.990002,80.449997,64.23,23.15
2017-03-01,221.86,10.78,45.59,81.489998,65.27,23.34
2017-03-02,220.58,10.7,45.27,80.959999,64.54,23.22
2017-03-03,220.69,10.72,45.360001,81.080002,64.57,23.24
2017-03-06,219.98,10.69,45.240002,80.610001,64.14,23.16
2017-03-07,219.35,10.68,45.110001,80.260002,63.72,23.1
2017-03-08,218.91,10.69,44.98,80.379997,63.33,23.05
2017-03-09,219.09,10.7,45.060001,80.309998,63.08,23.03
2017-03-10,219.8,10.74,45.209999,80.779999,63.31,23.09
2017-03-13,219.96,10.77,45.360001,81.029999,63.49,23.11
2017-03-14,219.22,10.73,45.18,80.769997,63.18,23.05
2017-03-15,221.06,10.8,45.619999,81.559998,64.1,23.23
2017-03-16,220.71,10.81,45.59,81.529999,64.13,23.2
2017-03-17,220.42,10.81,45.580002,81.699997,64.28,23.18
2017-03-20,219.99,10.79,45.490002,81.389999,63.96,23.17
2017-03-21,216.27,10.62,44.84,80.190002,62.56,22.96
2017-03-22,216.69,10.66,44.950001,80.610001,62.58,22.99
2017-03-23,216.46,10.65,44.880001,80.610001,62.58,22.99
2017-03-24,216.28,10.66,44.889999,80.639999,62.59,23.02
2017-03-27,216.06,10.66,44.93,80.830002,62.62,23.03
2017-03-28,217.62,10.74,45.25,81.32,63.12,23.14
2017-03-29,217.9,10.77,45.470001,81.540001,63.37,23.21
2017-03-30,218.55,10.79,45.509998,81.620003,63.76,23.25
2017-03-31,218.06,10.77,45.450001,81.519997,63.87,23.23
2017-04-03,217.71,10.77,45.369999,81.059998,63.31,23.23
2017-04-04,217.87,10.77,45.470001,80.779999,63.32,23.23
2017-04-05,217.22,10.74,45.330002,80.5,62.74,23.18
2017-04-06,217.71,10.76,45.439999,80.93,63.28,23.24
2017-04-07,217.52,10.74,45.380001,80.849998,63.22,23.13
2017-04-10,217.69,10.76,45.5,80.919998,63.4,23.17
2017-04-11,217.4,10.73,45.439999,80.959999,63.74,23.18
2017-04-12,216.59,10.69,45.209999,80.589996,63.03,23.13
2017-04-13,215.12,10.63,44.939999,80.169998,62.41,23.04
2017-04-17,216.97,10.74,45.34,80.870003,63.12,23.18
2017-04-18,216.34,10.71,45.18,80.800003,63.12,23.16
2017-04-19,216.0,10.72,45.060001,81.099998,63.28,23.14
2017-04-20,217.64,10.82,45.41,81.839996,63.92,23.25
2017-04-21,216.98,10.8,45.349998,81.709999,63.74,23.2
2017-04-24,219.33,10.94,45.880001,82.620003,64.4,23.37
2017-04-25,220.67,11.04,46.23,82.889999,64.88,23.46
2017-04-26,220.56,11.03,46.259998,83.059998,65.06,23.46
2017-04-27,220.71,11.05,46.349998,83.349998,65.05,23.45
2017-04-28,220.29,11.07,46.34,83.029999,64.41,23.42
2017-05-01,220.67,11.14,46.560001,83.110001,64.64,23.46
2017-05-02,220.93,11.17,46.66,83.419998,64.46,23.49
2017-05-03,220.69,11.16,46.490002,83.220001,64.12,23.45
2017-05-04,220.84,11.16,46.48,83.599998,63.95,23.41
2017-05-05,221.74,11.21,46.709999,84.129997,64.5,23.49
2017-05-08,221.77,11.21,46.709999,83.790001,64.2,23.49
2017-05-09,221.55,11.23,46.779999,83.989998,64.12,23.5
2017-05-10,221.89,11.27,46.82,84.169998,64.48,23.53
2017-05-11,221.48,11.25,46.740002,83.82,64.14,23.5
2017-05-12,221.15,11.27,46.799999,83.480003,63.84,23.51
2017-05-15,222.24,11.32,47.0,84.25,64.29,23.57
2017-05-16,222.13,11.33,47.080002,84.269997,64.22,23.59
2017-05-17,218.16,11.09,46.169998,82.879997,62.8,23.3
2017-05-18,218.96,11.17,46.419998,83.269997,62.98,23.37
2017-05-19,220.45,11.24,46.66,83.779999,63.45,23.56
2017-05-22,221.59,11.32,46.939999,84.370003,63.86,23.65
2017-05-23,222.0,11.34,46.93,84.220001,63.97,23.66
2017-05-24,222.56,11.4,47.139999,84.57,64.13,23.72
2017-05-25,223.58,11.49,47.400002,85.230003,64.17,23.8
2017-05-26,223.68,11.5,47.470001,85.239998,64.1,23.82
2017-05-30,223.45,11.49,47.369999,85.110001,63.69,23.81
2017-05-31,223.38,11.47,47.310001,85.269997,63.69,23.78
2017-06-01,225.1,11.54,47.630001,86.300003,64.73,23.92
2017-06-02,225.93,11.62,47.970001,86.709999,64.98,23.99
2017-06-05,225.67,11.63,47.939999,86.410004,64.65,23.95
2017-06-06,225.04,11.6,47.889999,86.0,64.48,23.93
2017-06-07,225.44,11.64,47.91,86.169998,64.44,23.94
2017-06-08,225.5,11.66,47.970001,86.169998,64.98,23.95
2017-06-09,225.31,11.5,47.529999,85.709999,65.16,23.87
2017-06-12,225.11,11.42,47.25,85.57,65.15,23.85
2017-06-13,226.19,11.53,47.59,86.260002,65.6,23.95
2017-06-14,225.98,11.51,47.450001,86.239998,65.29,23.94
2017-06-15,225.51,11.45,47.169998,86.059998,64.97,23.84
2017-06-16,225.58,11.46,47.23,86.0,64.89,23.84
2017-06-19,227.46,11.59,47.709999,86.830002,65.44,23.99
2017-06-20,225.94,11.52,47.389999,86.139999,64.65,23.88
2017-06-21,225.83,11.57,47.57,86.309998,64.38,23.89
2017-06-22,224.71,11.56,47.630001,86.489998,64.51,23.9
2017-06-23,225.06,11.6,47.779999,86.809998,64.95,23.92
2017-06-26,225.13,11.56,47.689999,86.830002,65.13,23.94
2017-06-27,223.32,11.42,47.23,86.139999,64.54,23.78
2017-06-28,225.33,11.56,47.73,87.019997,65.36,23.95
2017-06-29,223.4,11.42,47.240002,86.139999,64.88,23.79
2017-06-30,223.75,11.42,47.23,86.389999,64.99,23.82
2017-07-03,224.28,11.38,47.119999,86.379997,65.4,23.84
2017-07-05,224.65,11.44,47.290001,86.519997,65.17,23.86
2017-07-06,222.63,11.35,46.959999,85.540001,64.29,23.67
2017-07-07,224.06,11.46,47.32,86.419998,64.89,23.68
2017-07-10,224.27,11.52,47.540001,86.32,64.65,23.7
2017-07-11,224.09,11.53,47.630001,86.290001,64.83,23.71
2017-07-12,225.75,11.66,48.09,87.019997,65.33,23.88
2017-07-13,226.18,11.67,48.169998,87.110001,65.45,23.9
2017-07-14,227.24,11.73,48.41,87.470001,65.67,24.0
2017-07-17,227.24,11.72,48.419998,87.529999,65.78,23.99
2017-07-18,227.37,11.8,48.700001,87.519997,65.63,24.03
2017-07-19,228.62,11.87,49.060001,88.010002,66.31,24.14
2017-07-20,228.6,11.87,49.049999,88.080002,66.28,24.11
2017-07-21,228.51,11.86,49.060001,88.139999,66.07,24.14
2017-07-24,228.28,11.9,49.110001,88.290001,66.21,24.15
2017-07-25,228.94,11.9,49.200001,88.470001,66.69,24.18
2017-07-26,229.0,11.94,49.290001,88.5,66.35,24.21
2017-07-27,228.81,11.88,49.080002,87.989998,66.03,24.17
2017-07-28,228.51,11.88,48.98,88.040001,65.84,24.16
2017-07-31,228.34,11.83,48.799999,87.809998,65.71,24.13
2017-08-01,228.9,11.87,48.880001,87.989998,65.84,24.18
2017-08-02,229.06,11.87,48.880001,87.489998,65.29,24.16
2017-08-03,228.6,11.85,48.66,87.330002,65.07,24.12
2017-08-04,229.04,11.9,48.700001,87.510002,65.33,24.15
2017-08-07,229.42,11.94,48.84,87.860001,65.41,24.2
2017-08-08,228.89,11.91,48.73,87.550003,65.19,24.14
2017-08-09,228.84,11.89,48.549999,87.190002,64.72,24.12
2017-08-10,225.61,11.67,47.73,85.779999,63.63,23.87
2017-08-11,225.91,11.71,47.869999,86.230003,63.79,23.93
2017-08-14,228.19,11.86,48.299999,86.980003,64.55,24.08
2017-08-15,228.13,11.87,48.240002,86.599998,64.18,24.06
2017-08-16,228.52,11.9,48.360001,87.129997,64.32,24.1
2017-08-17,225.0,11.71,47.66,85.879997,63.27,23.86
2017-08-18,224.59,11.71,47.669998,85.720001,63.18,23.84
2017-08-21,224.86,11.71,47.68,85.949997,63.17,23.86
2017-08-22,227.1,11.87,48.209999,86.839996,63.79,24.01
2017-08-23,226.34,11.84,48.09,86.449997,63.7,23.99
2017-08-24,225.87,11.81,48.0,86.489998,63.76,23.98
2017-08-25,226.27,11.79,47.93,86.830002,63.94,24.02
2017-08-28,226.39,11.8,47.98,86.849998,63.99,24.01
2017-08-29,226.62,11.83,48.040001,86.93,63.99,24.03
2017-08-30,227.72,11.93,48.389999,87.5,64.45,24.14
2017-08-31,229.03,12.02,48.810001,88.269997,65.09,24.27
2017-09-01,229.51,12.02,48.889999,88.25,65.41,24.3
2017-09-05,227.78,11.91,48.57,87.769997,64.75,24.22
2017-09-06,228.5,11.93,48.77,88.050003,64.86,24.26
2017-09-07,228.51,11.97,48.880001,88.139999,64.68,24.27
2017-09-08,228.18,11.92,48.700001,88.190002,64.76,24.24
2017-09-11,230.65,12.07,49.209999,88.940002,65.48,24.4
2017-09-12,231.44,12.1,49.360001,89.309998,65.88,24.45
2017-09-13,231.62,12.09,49.470001,88.970001,65.88,24.47
2017-09-14,231.44,12.05,49.360001,88.790001,65.81,24.43
2017-09-15,231.9,12.07,49.330002,88.800003,66.05,24.46
2017-09-18,232.24,12.1,49.380001,89.120003,66.4,24.48
2017-09-19,231.31,12.13,49.41,88.82,66.08,24.48
2017-09-20,231.46,12.13,49.43,89.110001,66.39,24.48
2017-09-21,230.76,12.09,49.330002,88.980003,66.25,24.42
2017-09-22,230.92,12.06,49.32,89.5,66.48,24.45
2017-09-25,230.41,11.9,48.950001,89.300003,66.52,24.41
2017-09-26,230.44,11.9,48.93,89.190002,66.6,24.42
2017-09-27,231.38,12.02,49.279999,89.690002,67.38,24.49
2017-09-28,231.71,12.04,49.369999,89.769997,67.55,24.52
2017-09-29,232.57,12.12,49.599998,90.110001,67.7,24.57
