date,msci
2016-04-01,1448.14
2016-04-04,1458.77
2016-04-05,1430.2
2016-04-06,1441.04
2016-04-07,1431.27
2016-04-08,1451.34
2016-04-11,1460.49
2016-04-12,1460.17
2016-04-13,1485.57
2016-04-14,1487.73
2016-04-15,1487.21
2016-04-18,1497.38
2016-04-19,1526.19
2016-04-20,1528.01
2016-04-21,1517.45
2016-04-22,1505.75
2016-04-25,1500.47
2016-04-26,1508.39
2016-04-27,1513.28
2016-04-28,1516.38
2016-04-29,1501.57
2016-05-02,1508.39
2016-05-03,1483.14
2016-05-04,1462.45
2016-05-05,1455.49
2016-05-06,1453.53
2016-05-09,1456.63
2016-05-10,1469.61
2016-05-11,1467.93
2016-05-12,1456.5
2016-05-13,1449.96
2016-05-16,1454.47
2016-05-17,1454.85
2016-05-18,1459.64
2016-05-19,1433.21
2016-05-20,1451.73
2016-05-23,1443.14
2016-05-24,1470.08
2016-05-25,1487.65
2016-05-26,1494.79
2016-05-27,1490.71
2016-05-30,1493.73
2016-05-31,1481.2
2016-06-01,1472.47
2016-06-02,1471.73
2016-06-03,1481.23
2016-06-06,1490.82
2016-06-07,1506.42
2016-06-08,1504.9
2016-06-09,1481.23
2016-06-10,1442.02
2016-06-13,1416.63
2016-06-14,1378.21
2016-06-15,1394.83
2016-06-16,1374.98
2016-06-17,1406.04
2016-06-20,1468.13
2016-06-21,1470.12
2016-06-22,1477.09
2016-06-23,1508.1
2016-06-24,1375.84
2016-06-27,1305.76
2016-06-28,1347.51
2016-06-29,1396.35
2016-06-30,1411.93
2016-07-01,1424.63
2016-07-04,1415.55
2016-07-05,1389.55
2016-07-06,1361.48
2016-07-07,1375.84
2016-07-08,1392.65
2016-07-11,1415.79
2016-07-12,1433.77
2016-07-13,1436.3
2016-07-14,1447.57
2016-07-15,1440.95
2016-07-18,1443.18
2016-07-19,1430.11
2016-07-20,1444.37
2016-07-21,1441.91
2016-07-22,1438.64
2016-07-25,1439.69
2016-07-26,1442.88
2016-07-27,1449.28
2016-07-28,1446.83
2016-07-29,1469.94
2016-08-01,1459.65
2016-08-02,1446.76
2016-08-03,1441.01
2016-08-04,1446.47
2016-08-05,1452.52
2016-08-08,1453.75
2016-08-09,1472.02
2016-08-10,1475.8
2016-08-11,1489.42
2016-08-12,1486.63
2016-08-15,1489.37
2016-08-16,1485.88
2016-08-17,1475.84
2016-08-18,1492.83
2016-08-19,1480.45
2016-08-22,1481.62
2016-08-23,1494.15
2016-08-24,1490.05
2016-08-25,1482.01
2016-08-26,1489.48
2016-08-29,1472.34
2016-08-30,1477.11
2016-08-31,1470.06
2016-09-01,1477.0
2016-09-02,1502.61
2016-09-05,1501.04
2016-09-06,1507.84
2016-09-07,1513.23
2016-09-08,1512.37
2016-09-09,1487.55
2016-09-12,1474.68
2016-09-13,1462.36
2016-09-14,1461.53
2016-09-15,1469.14
2016-09-16,1447.4
2016-09-19,1465.1
2016-09-20,1462.33
2016-09-21,1464.75
2016-09-22,1501.77
2016-09-23,1488.39
2016-09-26,1471.35
2016-09-27,1462.85
2016-09-28,1475.28
2016-09-29,1479.88
2016-09-30,1481.94
2016-10-03,1480.49
2016-10-04,1485.69
2016-10-05,1483.59
2016-10-06,1473.61
2016-10-07,1461.76
2016-10-10,1469.81
2016-10-11,1449.21
2016-10-12,1436.27
2016-10-13,1425.71
2016-10-14,1440.61
2016-10-17,1428.19
2016-10-18,1447.05
2016-10-19,1451.15
2016-10-20,1449.18
2016-10-21,1441.72
2016-10-24,1443.41
2016-10-25,1435.88
2016-10-26,1437.76
2016-10-27,1438.71
2016-10-28,1435.84
2016-10-31,1432.15
2016-11-01,1427.87
2016-11-02,1420.64
2016-11-03,1416.93
2016-11-04,1409.36
2016-11-07,1419.78
2016-11-08,1426.45
2016-11-09,1433.94
2016-11-10,1420.69
2016-11-11,1412.03
2016-11-14,1397.39
2016-11-15,1402.29
2016-11-16,1392.25
2016-11-17,1400.85
2016-11-18,1382.41
2016-11-21,1392.89
2016-11-22,1391.88
2016-11-23,1383.46
2016-11-24,1392.03
2016-11-25,1400.05
2016-11-28,1386.31
2016-11-29,1394.8
2016-11-30,1398.61
2016-12-01,1395.19
2016-12-02,1395.45
2016-12-05,1411.92
2016-12-06,1424.7
2016-12-07,1444.57
2016-12-08,1441.49
2016-12-09,1444.72
2016-12-12,1448.41
2016-12-13,1468.32
2016-12-14,1462.8
2016-12-15,1442.51
2016-12-16,1451.52
2016-12-19,1448.86
2016-12-20,1447.83
2016-12-21,1452.18
2016-12-22,1452.21
2016-12-23,1453.34
2016-12-26,1453.34
2016-12-27,1454.68
2016-12-28,1450.15
2016-12-29,1458.15
2016-12-30,1471.08
2017-01-02,1477.92
2017-01-03,1465.15
2017-01-04,1476.38
2017-01-05,1495.1
2017-01-06,1491.18
2017-01-09,1480.84
2017-01-10,1487.65
2017-01-11,1473.99
2017-01-12,1490.3
2017-01-13,1500.41
2017-01-16,1485.56
2017-01-17,1495.32
2017-01-18,1497.94
2017-01-19,1485.37
2017-01-20,1497.49
2017-01-23,1496.7
2017-01-24,1502.12
2017-01-25,1519.8
2017-01-26,1512.89
2017-01-27,1513.06
2017-01-30,1495.17
2017-01-31,1501.03
2017-02-01,1506.45
2017-02-02,1508.11
2017-02-03,1514.33
2017-02-06,1497.39
2017-02-07,1494.1
2017-02-08,1501.23
2017-02-09,1507.57
2017-02-10,1504.46
2017-02-13,1513.14
2017-02-14,1507.33
2017-02-15,1513.93
2017-02-16,1521.89
2017-02-17,1516.42
2017-02-20,1517.96
2017-02-21,1515.43
2017-02-22,1516.42
2017-02-23,1521.23
2017-02-24,1506.42
2017-02-27,1510.34
2017-02-28,1514.95
2017-03-01,1527.72
2017-03-02,1523.41
2017-03-03,1527.4
2017-03-06,1524.46
2017-03-07,1518.14
2017-03-08,1515.55
2017-03-09,1519.97
2017-03-10,1532.2
2017-03-13,1539.75
2017-03-14,1531.24
2017-03-15,1535.9
2017-03-16,1562.29
2017-03-17,1565.51
2017-03-20,1564.31
2017-03-21,1564.52
2017-03-22,1556.85
2017-03-23,1567.32
2017-03-24,1567.0
2017-03-27,1572.26
2017-03-28,1579.7
2017-03-29,1568.05
2017-03-30,1573.66
2017-03-31,1570.11
